transect,Shannon,Simpson,EqMaxima,Pielou,Jentsch,DBH,q,IndvHA,G_HA,VCC_HA
T01,3.41,0.97,3.69,0.92,0.37,35.1647,38.9865,116,13.8477,881.5711
T02,3.73,0.97,4.04,0.92,0.47,35.9283,40.3516,138,17.6478,1123.4943
T03,3.59,0.98,3.81,0.94,0.55,41.4578,47.7561,90,16.1209,1026.2896
T04,3.39,0.96,3.81,0.89,0.41,36.1106,42.7433,123,17.6495,1123.6007
T05,3.59,0.97,3.87,0.93,0.48,32.6105,38.4196,114,13.216,841.3575
T06,3.31,0.96,3.74,0.89,0.37,35.5864,40.5045,118,15.2047,967.9631
T07,3.51,0.96,3.97,0.88,0.45,39.7305,45.7865,128,21.0753,1341.6976
T08,3.45,0.96,3.85,0.9,0.47,39.292,45.3167,113,18.2258,1160.2884
T09,3.44,0.96,3.85,0.89,0.38,42.2993,47.7091,138,24.6701,1570.5471
T10,3.47,0.96,3.83,0.91,0.47,34.4408,39.1173,103,12.3784,788.0331
T11,3.47,0.97,3.78,0.92,0.42,36.9965,43.2127,113,16.5726,1055.0458
T12,3.22,0.94,3.69,0.87,0.43,36.6812,42.2091,101,14.1326,899.7114
T13,3.47,0.97,3.83,0.91,0.36,35.4282,39.0585,131,15.6961,999.2441
T14,3.21,0.94,3.74,0.86,0.38,35.228,40.1908,118,14.9701,953.0277
T15,3.32,0.96,3.74,0.89,0.39,37.4304,42.5609,115,16.361,1041.573
T16,3.47,0.96,3.81,0.91,0.43,34.7842,39.7824,120,14.9161,949.5852
T17,3.61,0.98,3.83,0.94,0.55,33.0695,40.4879,95,12.2311,778.6543
T18,3.48,0.96,3.93,0.89,0.43,34.7724,39.7735,123,15.2821,972.8857
T19,3.35,0.96,3.76,0.89,0.43,33.5874,39.3977,111,13.5318,861.4607
T20,3.41,0.97,3.69,0.92,0.48,36.3489,43.1397,92,13.4472,856.0746
T21,3.24,0.95,3.66,0.89,0.4,40.2383,45.0266,107,17.0378,1084.6571
T22,3.4,0.96,3.83,0.89,0.48,30.7149,36.6948,101,10.6812,679.9878
